Epoch,Train Loss,Test Loss,MAE,MSE,RMSE,RÂ²
1,0.8970885987333239,0.10752378876893148,0.22905100698719835,0.10752378876578413,0.3279082179069519,-26.13240173366191
2,0.7688789928692371,0.15810731732315922,0.2823907273764192,0.15810731728539093,0.3976271152496338,-38.89657822570954
3,0.6885893690836589,0.22653225200558202,0.34707316688580303,0.22653225214406572,0.4759540557861328,-56.16283011745827
4,0.6318241664821675,0.3718380035952714,0.4374219657425795,0.37183800348196655,0.6097851991653442,-92.82907918443753
5,0.5895839876267976,0.37826864254872467,0.43854717362807033,0.3782686426179665,0.6150354743003845,-94.45177762582357
6,0.5576357944489412,0.3427561997796064,0.4245647587435262,0.34275619981108,0.5854538679122925,-85.49061772027947
7,0.5328848796297257,0.3954053042616433,0.44710695392315764,0.3954053041672226,0.6288126111030579,-98.77601871577454
8,0.5116422044302333,0.40511978689330547,0.46444460177121943,0.40511978680203214,0.6364902257919312,-101.22735761024447
9,0.49498329688709514,0.40811333249106,0.4630822081892679,0.40811333249106,0.638837456703186,-101.9827447220184
10,0.47825296117309135,0.4411579400225443,0.4861876226828637,0.4411579400131022,0.6641972064971924,-110.32117454030009
11,0.4649896537747076,0.45178188812249265,0.49926552640081195,0.4517818881240663,0.6721472144126892,-113.00200667477918
12,0.45376477970981577,0.4915805567118494,0.5082420542393986,0.491580556743323,0.7011280655860901,-123.04474677757378
13,0.444515011528349,0.49330342289153595,0.5130463446668391,0.49330342292930424,0.7023556232452393,-123.47949240947491
14,0.43534353144058596,0.4785160023019966,0.50631297559997,0.47851600227996505,0.6917484998703003,-119.74805546637687
15,0.42713075512112725,0.5078260403951479,0.5172215307233502,0.5078260403920005,0.7126191258430481,-127.14410928863347
16,0.41942094298786536,0.5489200517410889,0.5324653493450365,0.5489200517473837,0.7408913969993591,-137.5137143568723
17,0.41233579353840966,0.47946036245159696,0.508217859323582,0.47946036243428647,0.6924307346343994,-119.98635398043058
18,0.40267891775489023,0.5347042211900607,0.5248863806076445,0.5347042211459977,0.7312347292900085,-133.92651164311127
19,0.40018137440355445,0.5005165518009999,0.5090139492573538,0.5005165518135893,0.7074719667434692,-125.29964321416253
20,0.39552791950993177,0.5598017202653065,0.5298988159310416,0.559801720282617,0.7481989860534668,-140.25957930098832
21,0.3901135135150086,0.550562109781276,0.5417448130035643,0.5505621098190442,0.7419986724853516,-137.92806898278067
22,0.3849722381517629,0.5567094310921417,0.5324768984578381,0.5567094310889943,0.7461296319961548,-139.4792753920478
23,0.38016350155325784,0.5784167615510504,0.5487170407759223,0.5784167614943979,0.7605371475219727,-144.95687263713452
24,0.37560424179074453,0.5593370719382901,0.5369229170422277,0.5593370720075319,0.7478883862495422,-140.14233060831137
25,0.3720740683471241,0.549677070279423,0.5426720522414141,0.5496770703486649,0.7414020895957947,-137.70473936673835
26,0.36667066017204075,0.5440930241276488,0.5304698069881947,0.544093024278722,0.7376266121864319,-136.29566902976393
27,0.36333309211700476,0.563129891644487,0.5414136119548038,0.5631298916130134,0.7504198551177979,-141.09940537679253
28,0.3585040185030227,0.5798298652433446,0.544143471600501,0.5798298653283231,0.7614656090736389,-145.31345327248542
29,0.35541248550921556,0.5954029151278925,0.5453734130488742,0.5954029152852603,0.7716235518455505,-149.24313481086944
30,0.35181505265401103,0.607056850911899,0.5534164967739867,0.6070568509276357,0.7791385650634766,-152.1838725513888
31,0.3499338688524577,0.5330583268743292,0.5229890558784849,0.5330583268428556,0.7301084399223328,-133.51118898794266
32,0.34414688785314385,0.5878870318420385,0.552491968593825,0.5878870318357438,0.7667379379272461,-147.3465873447095
33,0.34193484176617406,0.548562278480285,0.5307022331004939,0.5485622783103278,0.7406498789787292,-137.42343431061224
34,0.33784166308417124,0.6125776696380132,0.5542306025562775,0.6125776694806454,0.7826734185218811,-153.5769881456058
35,0.3343705272686347,0.5786766234377342,0.5378709299685975,0.5786766235447444,0.7607079744338989,-145.02244586168572
36,0.33235881884927226,0.5126702163259487,0.5202699137131834,0.5126702161937596,0.7160099148750305,-128.36648180201382
37,0.3299184641906902,0.5321895349037057,0.5192958846592276,0.5321895350484841,0.7295132279396057,-133.2919592876282
38,0.3273656116481411,0.5542199915824388,0.5264172593546916,0.5542199915415231,0.7444595694541931,-138.85109371551872
39,0.32475934293844927,0.5752750098680113,0.531543402198955,0.5752750097893273,0.7584688663482666,-144.16408742757432
40,0.32328568699946497,0.5544502562033311,0.5353299083623102,0.5544502563858777,0.7446141839027405,-138.90919842270844
41,0.3191958918302115,0.516497302117047,0.5094438128189875,0.5164973023058885,0.7186774611473083,-129.33220333262122
42,0.3160853147208828,0.5778624644965855,0.5358124165036935,0.5778624645469432,0.7601726651191711,-144.81700212447205
43,0.31278145126155826,0.4854737052205926,0.5077259421461877,0.4854737054031393,0.6967594027519226,-121.50375249350385
44,0.31277182652335817,0.5039941427359952,0.5012522149657559,0.5039941426730481,0.7099254727363586,-126.17717360392287
45,0.3101179363138369,0.49283149981967045,0.49213989786367024,0.4928314998605861,0.7020195722579956,-123.36040800559724
46,0.3058943169267515,0.5842646803702557,0.5442386745135023,0.5842646804426449,0.7643721103668213,-146.43252828534975
47,0.30474260470802383,0.5205097325041549,0.5011790811681913,0.5205097325954282,0.7214636206626892,-130.34469435245725
48,0.30092995791697347,0.6100758988548325,0.5307269484632458,0.6100758988202115,0.7810735106468201,-152.94569485336294
49,0.30076820795735665,0.5381652933530362,0.4999430479476112,0.5381652933734941,0.7335975170135498,-134.79987374449897
50,0.29726812534324265,0.6109908011460936,0.5232023341261178,0.6109908011586831,0.7816590070724487,-153.1765600235677
51,0.29766989619927925,0.5234293281081511,0.5031975852308839,0.5234293280200252,0.7234841585159302,-131.08142095844096
52,0.2954301600169577,0.49855749079148537,0.4908134212387138,0.49855749079463274,0.7060860395431519,-124.80529651007762
53,0.29337522055470683,0.5289298388695866,0.5024742081545767,0.5289298389105022,0.7272756099700928,-132.4694121456367
54,0.29224222261378613,0.5014991741967763,0.49729152294307594,0.5014991741936289,0.7081660628318787,-125.54759676447684
55,0.28993173593794835,0.5733320873290889,0.5166522540566737,0.5733320873149258,0.7571869492530823,-143.67381310113987
56,0.2894467389569339,0.5804852927822614,0.5155867997488863,0.5804852926941353,0.7618958353996277,-145.47884289277854
57,0.2879243257958084,0.4924270619682229,0.4809632329530884,0.4924270619509124,0.7017314434051514,-123.25835271190319
58,0.28588121726668586,0.5546415361951202,0.5090087653339469,0.5546415361888256,0.7447426319122314,-138.95746569934266
59,0.28663627323125773,0.5197605363987657,0.49236674771564215,0.5197605364349603,0.7209442257881165,-130.15564324631174
60,0.2840144358787053,0.4469651846375054,0.4667744333885806,0.4469651846815684,0.6685545444488525,-111.78656649792268
61,0.28221498573632375,0.4776192878119507,0.47963566180330003,0.4776192878025086,0.6911000609397888,-119.52177979545777
62,0.2807822621943353,0.4831720583541351,0.47089605767518666,0.48317205835098775,0.695105791091919,-120.92295811130342
63,0.27993034726457267,0.5307815862562453,0.48332264375782324,0.5307815862263454,0.7285475730895996,-132.93667946070622
64,0.27820818917859874,0.5240070139600755,0.4865892836606695,0.5240070139207336,0.723883330821991,-131.2271934066946
65,0.27847850021063375,0.4594396383533358,0.4628575762419278,0.4594396383171412,0.6778197884559631,-114.93435259561649
66,0.27529589124975495,0.5166567172432213,0.4801940951204839,0.5166567172227634,0.7187883257865906,-129.37242986868955
67,0.27535492621341423,0.43346545595920805,0.4402813697921297,0.43346545595291336,0.658380925655365,-108.3800639242533
68,0.27349377423524857,0.5190179927766556,0.4659791151867181,0.5190179927294453,0.7204290628433228,-129.96827081129902
69,0.27311029232174433,0.4943256712202815,0.4646480239574478,0.49432567126749183,0.7030829787254333,-123.73744511837444
70,0.27308184545019754,0.469530713877339,0.45752192656484497,0.46953071389622314,0.6852231025695801,-117.48072042434688
71,0.27043397011140047,0.4609578320120592,0.44474183643162596,0.46095783196956985,0.6789387464523315,-115.31745144806594
72,0.2683772768760811,0.39517339792431866,0.43642253847532103,0.39517339792431866,0.6286281943321228,-98.71749982038183
73,0.26937893669244306,0.45212316175507494,0.44021129441973855,0.4521231617377645,0.6724010705947876,-113.08812317880349
74,0.2684942682461353,0.4200649855734932,0.4300393740722176,0.42006498552628285,0.6481242179870605,-104.99860805101036
75,0.2682017075921061,0.4555540016352381,0.43321001432755013,0.4555540017107747,0.6749474406242371,-113.95385651558524
76,0.26630387748691126,0.5050060949367484,0.4577652399889178,0.5050060948895381,0.7106378078460693,-126.4325282039443
77,0.26639295257427154,0.47881810643760064,0.4526461797803467,0.47881810650998985,0.6919668316841125,-119.82428802317716
78,0.2650968407159626,0.36057319974276747,0.4076831752464076,0.3605731997789621,0.6004774570465088,-89.9865344505784
79,0.2654739740188426,0.4202894462534739,0.42657085416284,0.42028944621570563,0.6482973694801331,-105.05524814590228
80,0.26340003762494396,0.4483859426419553,0.43241869004604394,0.44838594261677645,0.6696162819862366,-112.14507855843351
81,0.2638919877738207,0.42519052533775314,0.4309625933799538,0.42519052534090046,0.6520663499832153,-106.29197956394144
82,0.26252733174982207,0.4676390696898825,0.451232631401145,0.4676390696709984,0.6838414072990417,-117.00338557923871
83,0.2622390565757244,0.45330897689633615,0.43170755502980995,0.4533089769907569,0.673282265663147,-113.38735013309336
84,0.26192191881038224,0.4352546164875915,0.4326319680418884,0.43525461643093905,0.659738302230835,-108.83153816463305
85,0.26234465166821436,0.49101146011175534,0.44121166136187,0.4910114601211974,0.7007220983505249,-122.90114173580561
86,0.2606858288269403,0.38160715112103644,0.423966809202366,0.38160715108012083,0.6177436113357544,-95.29421215892685
87,0.2597211520304234,0.44334196755209143,0.42643383884017,0.44334196747655485,0.6658393144607544,-110.87228896080128
88,0.2590634838135325,0.39052043615833787,0.4086501918381403,0.3905204361488958,0.6249163150787354,-97.54337798565794
89,0.25870261945337086,0.477953272252529,0.4418521108213379,0.47795327218328715,0.6913416385650635,-119.60605694469209
90,0.25969412066305797,0.3984572499920041,0.41560120456182714,0.39845724992276227,0.6312347054481506,-99.54614241825142
91,0.25617904306940636,0.3694177096107087,0.4137940932030234,0.3694177095288774,0.607797384262085,-92.2183456100114
92,0.2572417909253582,0.46345874338465576,0.43925216923370347,0.4634587432650562,0.6807780265808105,-115.9485278893658
93,0.2569564378770636,0.46795117892840304,0.4461298503043823,0.4679511788780453,0.6840695738792419,-117.0821427778789
94,0.2575844689165001,0.38839368683469244,0.42157273021113445,0.3883936867591559,0.6232123970985413,-97.00671703377373
95,0.25581574122408757,0.37107951742081446,0.40492515685326924,0.3710795174900563,0.6091629862785339,-92.63768389528258
96,0.2568439897719942,0.42704930957865095,0.41789029548230877,0.42704930963530335,0.6534901261329651,-106.7610225802903
97,0.25584041119565537,0.4416876329717496,0.4301438814534445,0.4416876329654549,0.6645958423614502,-110.45483651541917
98,0.2552508230611957,0.45328226669629834,0.4350961578573391,0.4532822666679721,0.6732624173164368,-113.38061008778293
99,0.25453039394119376,0.4523104121362676,0.4408115899125983,0.45231041207961514,0.6725402474403381,-113.1353736668878
100,0.25236117815837045,0.47917683151263296,0.4494598180744889,0.47917683146227524,0.692225992679596,-119.91480817345291
101,0.25481963442416466,0.4835694955443742,0.4613887816148243,0.48356949556640566,0.6953915953636169,-121.02324685964835
102,0.2540551763377357,0.5184103923251075,0.46353921412867694,0.5184103922369815,0.7200071811676025,-129.81494975700647
103,0.2532275932970596,0.3693201212057633,0.39999528046532534,0.36932012112707935,0.6077171564102173,-92.1937202898611
104,0.25235758668588404,0.4166309584287419,0.43992598188478627,0.4166309585042785,0.6454695463180542,-104.13207049876479
105,0.2514203878279883,0.4420386762833794,0.4374405353244802,0.44203867631800037,0.6648598909378052,-110.54341830161295
106,0.2504722441135134,0.35972378173978165,0.40046173187454875,0.3597237817366343,0.5997697710990906,-89.77219349562509
107,0.25058719922104045,0.39414860277404906,0.4150317726926877,0.394148602720544,0.6278125643730164,-98.45890443899965
108,0.2507061707750712,0.3856277363578424,0.41010457785281373,0.3856277364522631,0.6209893226623535,-96.30876102084497
109,0.2512933648579315,0.45516178660879214,0.4385126500689174,0.45516178658046597,0.6746568083763123,-113.85488550085716
110,0.24989600327339886,0.42042128668250395,0.42315535664193316,0.4204212867076828,0.6483989953994751,-105.08851659034745
111,0.2509447922418004,0.4474637737307469,0.4354867583432058,0.4474637736772418,0.6689273118972778,-111.9123797443296
112,0.24979688080292234,0.440827608845002,0.4218730971332034,0.44082760875687604,0.6639484763145447,-110.2378192153809
113,0.24948852607773456,0.36526501560358476,0.398973646102504,0.3652650155563744,0.6043715476989746,-91.17046064955545
114,0.24923462984288744,0.4178183859562166,0.4138226887280642,0.4178183858838274,0.6463887095451355,-104.43170425480412
115,0.24857171531042624,0.41951575415453446,0.4285427659375449,0.41951575417656595,0.6477003693580627,-104.86001578416139
116,0.24866542428883082,0.3722214975837594,0.39802336516558073,0.37222149767818014,0.6100995540618896,-92.92584957091321
117,0.24866206868790752,0.38130839577473663,0.4003795603409603,0.38130839577788395,0.6175017356872559,-95.21882466585768
118,0.24880364260453347,0.4389578676287331,0.42894122894896236,0.43895786780498514,0.6625389456748962,-109.76601141148097
119,0.24710323522234454,0.43300227351130244,0.4181948774454397,0.43300227355536547,0.6580290794372559,-108.26318512905381
120,0.24740123096634015,0.3486816133607062,0.38975045360976507,0.3486816133921798,0.5904926657676697,-86.98582825523093
121,0.24787741710647593,0.4002118496121405,0.4077609742326059,0.40021184960584577,0.632623016834259,-99.98889563621026
122,0.24846185208976254,0.3974766632561095,0.4090419766366362,0.39747666320889913,0.6304575204849243,-99.29870254507898
123,0.2471814626190035,0.46788128142731283,0.4372107053032167,0.467881281402134,0.6840184926986694,-117.06450494704755
124,0.24582979556051085,0.45721610542750685,0.4167702139865409,0.4572161053865912,0.6761775612831116,-114.37326942107244
125,0.24718064703396422,0.40599289394215604,0.4115025271759049,0.4059928939138298,0.6371757388114929,-101.44767623169311
126,0.2448369053753975,0.3943781953846745,0.4030764105831359,0.39437819535634827,0.6279953718185425,-98.51683952202859
127,0.2468369112163338,0.43529092369953043,0.4215382822137257,0.4352909237372987,0.6597658395767212,-108.84069989929033
128,0.2458528934685537,0.44374008512141927,0.41635559551667256,0.44374008514345076,0.666138231754303,-110.97274941331581
129,0.24600385138533643,0.4044345757328088,0.40413949766309126,0.4044345757674297,0.6359516978263855,-101.05445242082942
130,0.2433406649194792,0.49652692313644475,0.43043666714813206,0.4965269231868024,0.704646646976471,-124.29290593385805
131,0.24574254169988713,0.4224007044784974,0.4044591895830721,0.4224007043903714,0.6499236226081848,-105.58800006634743
132,0.2446047634951542,0.37453563397437295,0.39041882785475235,0.37453563390513106,0.611993134021759,-93.50979545392914
133,0.24317788161121126,0.48435218160432425,0.42893925585833886,0.4843521814847247,0.6959541440010071,-121.22074872422057
134,0.24409805263020296,0.4984866021617449,0.4221687348871677,0.4984866020987978,0.706035852432251,-124.78740855620391
135,0.24128844618687714,0.554559757000026,0.4383845144471871,0.5545597571070361,0.7446877360343933,-138.9368296807835
136,0.24544145321659608,0.4222010894295834,0.41612319647164264,0.42220108941699397,0.6497700214385986,-105.53762950452202
137,0.24182815306764752,0.5066483750178495,0.425721840793498,0.5066483752003963,0.7117923498153687,-126.84693890937943
138,0.24294462669165998,0.45296216890969665,0.4040887232679842,0.45296216900411734,0.6730246543884277,-113.29983709317953
139,0.24401470397307387,0.3836696424248768,0.39869472204738743,0.3836696424406136,0.6194106936454773,-95.8146583300248
140,0.2409035432863537,0.5183002608618259,0.42153190383061095,0.5183002606981634,0.7199307084083557,-129.78715931928977
141,0.2431014587496583,0.34124783455911656,0.36261256799386665,0.34124783463780045,0.5841642022132874,-85.10999897244469
142,0.2426287394449279,0.4529193772683867,0.40892771340584805,0.4529193772148817,0.6729928255081177,-113.28903907322719
143,0.24157353909604218,0.4052243523936247,0.37663210091715266,0.4052243523936247,0.6365723609924316,-101.25374354466115
144,0.24099897808394646,0.3686444246192356,0.38174470627442597,0.3686444246176619,0.6071609258651733,-92.02321598235866
145,0.24183413398111003,0.3485424049833607,0.36255415597074275,0.3485424050557499,0.590374767780304,-86.95070061927198
146,0.2410335533912135,0.38456635681499407,0.3817018473308232,0.38456635676148904,0.620134174823761,-96.04093396143246
147,0.23985228250640486,0.36005389533975535,0.3731144546694508,0.36005389530198706,0.6000449061393738,-89.85549388873523
148,0.23991296962864234,0.3356581163442252,0.35710583335936086,0.3356581163489462,0.5793600678443909,-83.69949731572245
149,0.2382908036103778,0.45979786435749403,0.3981333196899659,0.45979786430084163,0.6780839562416077,-115.02474683686079
150,0.2426062000628168,0.4411835253351983,0.3912439875573011,0.4411835253509351,0.6642164587974548,-110.32763070848891
151,0.2386878705237518,0.4850628934615718,0.4006756148427451,0.4850628935748766,0.6964645385742188,-121.40008881415153
152,0.24060306378673812,0.4315339264477907,0.3936777287217427,0.4315339263754015,0.6569124460220337,-107.89266446540742
153,0.24111146306007586,0.3982483209358159,0.3789392698527465,0.39824832093266854,0.6310691833496094,-99.49342157053856
154,0.2376602000870741,0.3911783771229616,0.36995218640862354,0.39117837706316183,0.6254425644874573,-97.70940187123516
155,0.2405689214357631,0.381682152996875,0.3766587291930643,0.38168215297641717,0.6178042888641357,-95.31313803202394
156,0.23868436857014164,0.485059192985035,0.39590091314546433,0.4850591930228033,0.6964619159698486,-121.39915502204244
157,0.2380071222958803,0.3393382606706268,0.35355177251977143,0.3393382607021003,0.5825274586677551,-84.62813976939516
158,0.23868181483954443,0.3787960965382674,0.3678611402766407,0.37879609655085683,0.6154641509056091,-94.58487460991843
159,0.2390883050038678,0.5049369975976423,0.41756514297366104,0.5049369975472846,0.7105891704559326,-126.41509227771562
160,0.23891284087024028,0.38366984887653877,0.3616153712710253,0.38366984885765465,0.6194108724594116,-95.81471041701083
161,0.23386757253554494,0.3437318599386809,0.36426756349004225,0.3437318599465493,0.5862864851951599,-85.73681442758426
162,0.23758434052951083,0.3870079985164025,0.3823152899377033,0.38700799851168144,0.6220996975898743,-96.65705440897553
163,0.23817303278932372,0.40035352917766354,0.38503556964591057,0.4003535291627136,0.6327349543571472,-100.02464685646123
164,0.2388668828544336,0.43992280562571834,0.3801282911293609,0.4399228056194236,0.6632667779922485,-110.00950246336696
165,0.23729595955674487,0.35016585254646526,0.3444137184732453,0.35016585251341803,0.5917481184005737,-87.36035906900253
166,0.23666808328608163,0.4585960363542937,0.3942482917257694,0.4585960364266829,0.6771972179412842,-114.72147928025136
167,0.23767668648189547,0.539835672828919,0.41537324200588993,0.5398356729736974,0.7347351312637329,-135.2213749851142
